[(12.5, 11.3), (2.0, 12.0), (18.7, 16.2), (12.5, 7)]
[(57, 28), (12, 33), (48, 77), (51, 67)]
[(10, -14), (6, -20), (8, -16), (5, -15)]
[(12, 2), (4, 2), (4, 6), (2, 8)]
[(15.0, 10.0), (2, 8), (26, 12), (4, 2)]
[(15, 10), (-2, 4), (-10, 15), (-2, 6)]
[(5, 15), (5, 12), (8, 10), (4, 6)]
[(4, 4), (4, 6), (6, 12), (12, 12)]
[(4, 4), (4, 12), (12, 12), (12, 4)]
[(20, 0), (5, 0), (-5, 5), (15, 2.5)]
[(20, -10), (5, -15), (15, -5), (11, -10)]
[(25, -10), (10, -15), (20, -5), (20, -10)]
[(-20, -15), (5, -10), (-15, -30), (-17, -20)]
[(5, 10), (-30, 15), (-17, 20), (-20, 15)]
[(15, -10), (-17, -20), (-20, -15), (-15, 0)]
[(1.65, -6.4), (-4.2, -10.25), (0.67, -6.8), (-6.47, -8.4)]
[(10, -10), (8, -13), (16, -14), (4, -14)]
[(8, 8), (12, 4), (8, 6), (4, 4)]
[(14, 6), (14, 8), (20, 12), (18, 6)]
[(22, 8), (14, 8), (30, 10), (30, 6)]
[(26, 8), (18, 4), (18, 6), (10, 6)]
[(24, -10), (16, -14), (16, -12), (8, -12)]
[(4, -4), (20, -2), (12, -6), (4, -6)]
[(12, -6), (20, -12), (12, -8), (4, -8)]
[(10, -16), (8, -8), (24, -10), (24, -12)]
[(24, -12), (10, -16), (14, -14), (24, -10)]
[(6, -18), (8, -18), (0, -25), (-10, -20)]
[(-21.2, -4.91), (-18.33, -7.76), (-28.21, -6.01), (-22, -6.03)]
[(-27.33, -3.21), (-27.89, -3.57), (-27.4, -4.58), (-30.31, -4.31)]
[(-30, -1.3), (-30.01, -2.99), (-27.4, -3.3), (-30.39, -4.45)]
[(7, 4), (5, 3), (7, 1), (3, 3)]
[(9, 3), (7, 1), (8, 3), (7, 4)]
[(8, -3), (6, -4), (8, -6), (4, -4)]
[(6, -4), (-2, -6), (4, -4), (-2, -2)]
[(6, -2), (-2, -6), (0, -4), (-2, -2)]
[(10, 10), (20, 10), (20, 4), (10, 6)]
[(14, 4), (18, 6), (20, 9), (20, 4)]
[(20, 9), (20, 4), (14, 4), (18, 6)]
[(18, 6), (20, 9), (20, 4), (14, 4)]
[(20, 4), (14, 4), (18, 6), (20, 9)]
[(2, 3), (2, 4), (7, 4), (7, 2)]
[(2, 3), (3, 4), (6, 4), (7, 2)]
[(2, 3), (4, 4), (4, 3), (7, 2)]
[(4, 3), (7, 2), (2, 3), (4, 4)]
[(7, 4), (7, 2), (2, 3), (2, 4)]
[(2, 4), (7, 4), (7, 2), (2, 2)]
[(2, 4), (2, 6), (7, 2), (2, 2)]
[(2, 6), (7, 7), (5, 4), (6, 6)]
[(2, 6), (7, 7), (7, 4), (6, 6)]
[(2, 12), (18.7, 16.2), (12.5, 7), (12.5, 11.3)]
[(2, 12), (18.7, 16.2), (10.5, 7), (12.5, 11.3)]
[(16.1, 17.1), (8.98, 3.02), (3.99, 16.03), (9.35, 12.1)]
[(7.7, 9.01), (3.02, 3.01), (7.89, 17.1), (13.9, 6.21)]
[(16.02, 10.05), (3.43, 5.98), (7.303, 11.37), (6.99, 17.12)]
[(8, 16), (11, 18), (15, 10), (5, 5.5)]
[(4, 5), (7, 15), (17, 15), (14, 5)]
[(15, 5), (5, 5), (5, 15), (15, 15)]
[(6, 10), (10, 17.5), (16, 10), (10, 4)]
[(-7, 4), (-3, 3), (-7, 2), (-6, 3)]
[(8, -3), (6, -4), (8, -6), (4, -4)]
[(4, 4), (4, 15), (10, 15), (10, 4)]
[(2, -8), (2, -2), (4, -8), (12, -10)]
[(4, -8), (12, -10), (2, -8), (2, -2)]
[(12, -10), (2, -8), (2, -2), (4, -8)]
[(2, -2), (4, -8), (12, -10), (2, -8)]
[(2, -2), (12, -6), (12, -10), (10, -6)]
[(12, -6), (12, -10), (10, -6), (2, -2)]
